,Datetime,Tweet Id,Text,URL,Username,tweet.user.followersCount,tweet.replyCount,tweet.retweetCount,tweet.likeCount,tweet.quoteCount,tweet.lang,tweet.outlinks,tweet.media,tweet.retweetedTweet,tweet.quotedTweet,tweet.inReplyToTweetId,tweet.inReplyToUser,tweet.mentionedUsers,tweet.coordinates,tweet.place,tweet.hashtags,tweet.cashtags
0,2020-12-31 20:47:13+00:00,1344746957021958144,https://t.co/XGRBqS0kjt,https://twitter.com/warriors/status/1344746957021958144,warriors,7959818,9,209,2999,20,zxx,,"[Photo(previewUrl='https://pbs.twimg.com/media/EqmAMY7UUAA_wme?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EqmAMY7UUAA_wme?format=jpg&name=large')]",,,1.3447468740166492e+18,https://twitter.com/warriors,,,,,
1,2020-12-31 20:46:53+00:00,1344746874016649218,https://t.co/To4aHcR9JZ,https://twitter.com/warriors/status/1344746874016649218,warriors,7959818,9,50,1457,1,zxx,,"[Photo(previewUrl='https://pbs.twimg.com/media/EqmAGLFVoAE62jS?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EqmAGLFVoAE62jS?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/EqmAHYXUcAADIB4?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EqmAHYXUcAADIB4?format=jpg&name=large')]",,,1.344746738716799e+18,https://twitter.com/warriors,,,,,
2,2020-12-31 20:46:21+00:00,1344746738716798977,https://t.co/82VroOdKON,https://twitter.com/warriors/status/1344746738716798977,warriors,7959818,2,11,287,0,zxx,,"[Photo(previewUrl='https://pbs.twimg.com/media/Eql_5VhVEAEmyID?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Eql_5VhVEAEmyID?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Eql_8-IVkAAPyq4?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Eql_8-IVkAAPyq4?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Eql_-MZVQAA-Riv?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Eql_-MZVQAA-Riv?format=jpg&name=large')]",,,1.3447456109984768e+18,https://twitter.com/warriors,,,,,
3,2020-12-31 20:41:52+00:00,1344745610998476801,2020 on 📸 https://t.co/UzX4aOOatF,https://twitter.com/warriors/status/1344745610998476801,warriors,7959818,28,399,7149,15,und,,"[Photo(previewUrl='https://pbs.twimg.com/media/Eql5SktVgAA7g8H?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Eql5SktVgAA7g8H?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Eql5nj0UcAE9Dlj?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Eql5nj0UcAE9Dlj?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Eql5phLUcAIt2bE?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Eql5phLUcAIt2bE?format=jpg&name=large')]",,,,,,,,,
4,2020-12-30 22:51:23+00:00,1344415816754683905,"Let the world see you courtside.

Sign up for your chance to be a virtual fan with exclusive views and experiences during our upcoming games at @ChaseCenter » https://t.co/kxTUY66wjm https://t.co/Qzf8kck2m5",https://twitter.com/warriors/status/1344415816754683905,warriors,7959818,20,66,1100,9,en,"[TextLink(text='on.nba.com/2WWEdNE', url='http://on.nba.com/2WWEdNE', tcourl='https://t.co/kxTUY66wjm', indices=(159, 182))]","[Photo(previewUrl='https://pbs.twimg.com/media/EqhS1nHUYAEaroW?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EqhS1nHUYAEaroW?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/EqhS2O5UUAEoPEO?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EqhS2O5UUAEoPEO?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/EqhS2_iUYAEKkPx?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EqhS2_iUYAEKkPx?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/EqhS4HBVkAABiaz?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EqhS4HBVkAABiaz?format=jpg&name=large')]",,,,,"[User(username='ChaseCenter', id=4836530927, displayname='Chase Center', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
5,2020-12-30 20:21:00+00:00,1344377970836840465,Baze's bench celebrations were in midseason form last night. 😂 https://t.co/hU5qSmg9DC,https://twitter.com/warriors/status/1344377970836840465,warriors,7959818,13,110,1682,2,en,,"[Video(thumbnailUrl='https://pbs.twimg.com/media/EqgoqkzVQAAUXKi.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1344369104396800000/pl/6WDMPIBVtd0HBW_w.m3u8?tag=13', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1344369104396800000/vid/360x450/cWTUqIP8HpJDzWHX.mp4?tag=13', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1344369104396800000/vid/320x400/MMW_RfdNmVAd6t-v.mp4?tag=13', bitrate=632000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1344369104396800000/vid/720x900/Cdw-ddnrcM_5iMAM.mp4?tag=13', bitrate=2176000)], duration=20.9, views=37429)]",,,,,,,,,
6,2020-12-30 18:21:09+00:00,1344347812360671233,"Wrapped up the road trip with a Dub in Detroit.

@Verizon brings you the Game Rewind ⏪ https://t.co/GP5VZvYg1Y",https://twitter.com/warriors/status/1344347812360671233,warriors,7959818,7,124,1528,6,en,,"[Video(thumbnailUrl='https://pbs.twimg.com/media/EqgUrZ7VoAAdUl6.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1344346208299405312/vid/640x360/cS3ozzdLrMilxc0_.mp4?tag=13', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1344346208299405312/pl/IkaM50ins_P2LeEh.m3u8?tag=13', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1344346208299405312/vid/1280x720/6nVueIjV-Dr5GID6.mp4?tag=13', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1344346208299405312/vid/480x270/THeUGfFPXpUtDBIW.mp4?tag=13', bitrate=288000)], duration=130.097, views=29062)]",,,,,"[User(username='Verizon', id=59889953, displayname='Verizon', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
7,2020-12-30 16:52:14+00:00,1344325433580421121,about last night 📸 https://t.co/zEtk4HkGoY,https://twitter.com/warriors/status/1344325433580421121,warriors,7959818,11,171,4374,3,en,,"[Photo(previewUrl='https://pbs.twimg.com/media/EqgAOBSU0AI4IOs?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EqgAOBSU0AI4IOs?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/EqgAZTmUYAA91UR?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EqgAZTmUYAA91UR?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/EqgAckUVkAE9z2t?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EqgAckUVkAE9z2t?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/EqgAxQQUcAAKfGw?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EqgAxQQUcAAKfGw?format=jpg&name=large')]",,,,,,,,,
8,2020-12-30 05:59:35+00:00,1344161187949232129,"Steph &amp; Andrew combined for 58 points and 10 threes in the Warriors' win in Motown. 📝

https://t.co/ahgblshiqh",https://twitter.com/warriors/status/1344161187949232129,warriors,7959818,17,145,1828,11,en,"[TextLink(text='nba.com/warriors/gamed…', url='https://www.nba.com/warriors/gameday/20201229/recap?utm_source=gsw-web&utm_medium=home&utm_campaign=carousel-primary', tcourl='https://t.co/ahgblshiqh', indices=(91, 114))]",,,,,,,,,,
9,2020-12-30 05:12:00+00:00,1344149213467140098,"transition dimes 👀

Assist of the Night || @StateFarm https://t.co/p8wSgApjSg",https://twitter.com/warriors/status/1344149213467140098,warriors,7959818,10,103,1258,6,en,,"[Video(thumbnailUrl='https://pbs.twimg.com/media/EqdSGmJU8AI1wEG.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1344133144639799296/vid/720x720/9VajlLRNJUbSi9Z9.mp4?tag=13', bitrate=1280000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1344133144639799296/pl/RAsi_ciMTbmw1HDV.m3u8?tag=13', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1344133144639799296/vid/320x320/BkwzrUd5BGKJidKn.mp4?tag=13', bitrate=432000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1344133144639799296/vid/480x480/2eFAhAq9iLnSdB14.mp4?tag=13', bitrate=832000)], duration=16.75, views=31998)]",,,,,"[User(username='StateFarm', id=15091022, displayname='State Farm', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
